order_id,carrier,shipping_cost,shipped_ts,delivered_ts,delivery_status
O000041,,free,2025-12-01 20:04:00,03/12/2025 17:14,in_transit
O000042,Loggi,,2025-12-01 05:50:00,2025-12-06 07:27:00,lost
O000044,Jadlog,52.38,2025-12-01 21:27:00,06/12/2025 02:52,
O000045,Loggi,71.12,2025-12-01 13:45:00,06/12/2025 16:38,delivered
O000046,,23.79,2025-12-02 09:35:00,2025-12-04 01:03:00,
O000048,Correios,60.87,2025-12-01 04:07:00,2025-12-07 02:07:00,delivered
O000049,Correios,79.75,2025-12-01 08:13:00,05/12/2025 06:12,
O000050,Loggi,30.17,2025-12-02 14:07:00,2025-12-06 01:32:00,
O000051,Total Express,18.28,01/12/2025 08:56,2025-12-02 11:19:00,
O000052,Jadlog,18.16,2025-12-01 05:28:00,05/12/2025 15:39,lost
O000053,,21.33,2025-12-02 05:28:00,2025-12-05 09:25:00,delivered
O000054,Loggi,8.33,01/12/2025 20:17,,delivered
O000055,Jadlog,69.92,02/12/2025 23:32,07/12/2025 00:42,delivered
O000056,CORREIOS ,9.59,02/12/2025 03:42,07/12/2025 22:56,lost
O000057,,49.82,2025-12-01 17:25:00,,
O000058,Jadlog,31.23,,04/12/2025 07:28,returned
O000059,Correios,24.77,2025-12-01 19:03:00,2025-12-07 09:29:00,
O000060,Total Express,30.44,02/12/2025 09:17,06/12/2025 21:31,
O000061,Jadlog,31.6,2025-12-02 05:38:00,07/12/2025 16:23,label_created
O000062,Total Express,42.79,01/12/2025 17:26,07/12/2025 22:49,in_transit
O000063,Jadlog,,02/12/2025 11:49,2025-12-05 16:46:00,delivered
O000064,CORREIOS ,65.09,02/12/2025 20:19,2025-12-06 15:21:00,label_created
O000065,,8.22,2025-12-01 05:17:00,2025-12-03 14:57:00,
O000066,Correios,58.22,,2025-12-03 08:36:00,
O000067,,48.78,2025-12-01 03:54:00,,lost
O000068,Loggi,60.07,2025-12-01 01:38:00,2025-12-06 08:11:00,delivered
O000069,Jadlog,75.85,01/12/2025 05:32,,label_created
O000070,Correios,20.86,02/12/2025 17:31,2025-12-09 01:42:00,
O000071,Loggi,58.46,2025-12-01 18:11:00,,label_created
O000073,Total Express,19.97,02/12/2025 02:31,2025-12-06 04:45:00,label_created
O000074,,53.03,2025-12-01 22:59:00,2025-12-07 11:58:00,
O000075,,50.26,01/12/2025 00:04,2025-12-04 21:34:00,
,,5.65,2025-12-02 07:58:00,,label_created
O000077,,7.41,2025-12-01 02:52:00,02/12/2025 01:29,
O000079,CORREIOS ,43.28,2025-12-02 02:50:00,2025-12-06 02:16:00,lost
O000080,Loggi,15.0,01/12/2025 23:58,2025-12-05 03:52:00,
O000081,Loggi,62.88,02/12/2025 04:54,2025-12-03 13:36:00,
O000082,Total Express,79.34,01/12/2025 11:22,2025-12-05 13:01:00,lost
O000083,,76.16,2025-12-02 11:52:00,N/A,
O000084,Correios,49.74,2025-12-02 00:08:00,2025-12-08 07:35:00,
O000085,,44.12,01/12/2025 21:22,,returned
,Total Express,75.85,2025-12-01 20:24:00,2025-12-04 17:11:00,returned
O000087,CORREIOS ,58.34,2025-12-02 13:05:00,08/12/2025 07:57,in_transit
O000089,,13.78,2025-12-02 14:08:00,2025-12-05 02:42:00,
O000090,,34.94,2025-12-01 03:09:00,04/12/2025 12:29,
O000093,Jadlog,57.38,02/12/2025 22:08,2025-12-03 11:37:00,in_transit
O000094,Jadlog,5.16,2025-12-02 07:27:00,2025-12-09 05:52:00,returned
O000095,,6.82,02/12/2025 22:14,2025-12-04 21:30:00,returned
O000096,,43.74,02/12/2025 00:41,08/12/2025 22:50,returned
O000097,Total Express,60.04,2025-12-01 07:14:00,2025-12-05 20:56:00,
O000098,Correios  ,70.91,01/12/2025 01:29,,
O000099,Total Express,19.27,2025-12-02 03:59:00,06/12/2025 04:31,
O000100,,67.67,2025-12-01 13:34:00,N/A,in_transit
O000101,CORREIOS ,1.42,2025-12-01 03:48:00,2025-12-07 12:58:00,returned
O000102,,71.85,2025-12-02 20:12:00,N/A,lost
O000103,Loggi,30.71,,03/12/2025 10:06,lost
O000104,CORREIOS ,40.83,02/12/2025 03:06,2025-12-06 13:38:00,
O000105,,70.3,2025-12-02 23:59:00,,
O000106,CORREIOS ,33.31,2025-12-01 23:48:00,2025-12-05 09:40:00,in_transit
O000107,CORREIOS ,71.49,02/12/2025 11:47,06/12/2025 22:39,lost
O000108,Total Express,53.65,01/12/2025 18:47,,returned
O000109,Correios,57.43,02/12/2025 19:53,2025-12-05 08:56:00,delivered
O000110,Loggi,49.14,02/12/2025 10:06,2025-12-03 23:30:00,in_transit
O000109,Correios,57.43,02/12/2025 19:53,2025-12-05 08:56:00,delivered
O000065,,8.22,2025-12-01 05:17:00,2025-12-03 14:57:00,
O000067,,48.78,2025-12-01 03:54:00,,lost
O000039,Total Express,34.2,02/12/2025 01:35,07/12/2025 00:23,lost
O000104,CORREIOS ,40.83,02/12/2025 03:06,2025-12-06 13:38:00,
