order_id,carrier,shipping_cost,shipped_ts,delivered_ts,delivery_status,_source_file,_ingest_date,_load_ts
O2000047,,32.84,2025-12-02 17:53:00,08/12/2025 22:27,returned,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000048,Jadlog,34.29,2025-12-02 01:10:00,2025-12-02 06:23:00,in_transit,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000049,,2.05,2025-12-03 19:04:00,10/12/2025 14:32,,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000050,Correios,41.13,2025-12-02 09:55:00,09/12/2025 03:20,returned,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000051,Loggi,26.54,2025-12-03 15:23:00,2025-12-08 03:29:00,,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000052,Correios,4.23,2025-12-03 16:06:00,2025-12-05 08:22:00,lost,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000054,,63.43,,,,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000055,Jadlog,49.38,2025-12-03 02:32:00,2025-12-07 09:39:00,delivered,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000056,,13.65,03/12/2025 03:31,2025-12-05 22:49:00,delivered,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000057,CORREIOS ,74.99,2025-12-02 05:30:00,N/A,in_transit,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000058,,41.28,2025-12-03 20:41:00,08/12/2025 01:18,returned,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000059,Correios,66.39,2025-12-02 12:36:00,,,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000060,CORREIOS ,70.63,2025-12-02 18:19:00,,,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000061,CORREIOS ,7.5,02/12/2025 04:33,,returned,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000064,Correios,68.93,2025-12-02 17:38:00,,delivered,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000065,CORREIOS ,68.04,2025-12-03 17:34:00,08/12/2025 18:20,label_created,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000066,,74.36,2025-12-02 08:42:00,2025-12-03 10:01:00,in_transit,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000067,Total Express,16.34,02/12/2025 22:54,,label_created,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000068,Total Express,54.0,02/12/2025 09:33,2025-12-08 14:24:00,lost,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000069,,31.58,2025-12-03 23:23:00,2025-12-08 21:13:00,delivered,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000073,CORREIOS ,36.89,03/12/2025 23:23,2025-12-08 17:18:00,delivered,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000074,,40.63,02/12/2025 19:45,05/12/2025 23:05,,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000075,,63.05,2025-12-02 13:10:00,,in_transit,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000076,,4.87,02/12/2025 14:38,2025-12-04 12:16:00,in_transit,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000077,,56.06,2025-12-03 05:59:00,,,shipments.csv,2025-12-02,2026-03-29T19:36:03
,,63.53,03/12/2025 14:47,2025-12-07 09:32:00,in_transit,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000079,,51.34,2025-12-03 08:51:00,2025-12-04 08:31:00,delivered,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000080,CORREIOS ,43.98,2025-12-03 12:40:00,2025-12-05 12:37:00,returned,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000081,Jadlog,11.12,2025-12-03 03:32:00,2025-12-07 17:03:00,,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000082,CORREIOS ,67.58,2025-12-02 13:40:00,2025-12-08 22:03:00,lost,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000083,CORREIOS ,15.81,2025-12-02 11:00:00,07/12/2025 22:17,returned,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000085,,43.97,2025-12-02 12:23:00,2025-12-03 10:30:00,delivered,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000086,Total Express,52.35,2025-12-03 04:49:00,2025-12-05 20:17:00,,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000087,Total Express,28.84,2025-12-03 07:39:00,03/12/2025 22:51,in_transit,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000088,,28.28,2025-12-03 18:56:00,,lost,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000089,Loggi,23.62,03/12/2025 17:36,2025-12-03 23:00:00,delivered,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000090,Total Express,46.12,02/12/2025 08:57,2025-12-08 08:23:00,returned,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000091,CORREIOS ,72.15,2025-12-02 04:53:00,2025-12-05 01:51:00,lost,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000092,Loggi,36.73,02/12/2025 05:38,,delivered,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000093,Correios,36.55,,09/12/2025 08:49,delivered,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000094,Correios,54.6,02/12/2025 11:27,05/12/2025 20:54,,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000095,Correios,65.67,2025-12-03 21:30:00,08/12/2025 06:29,,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000064,Correios,68.93,2025-12-02 17:38:00,,delivered,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000051,Loggi,26.54,2025-12-03 15:23:00,2025-12-08 03:29:00,,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000029,Total Express,7.76,02/12/2025 03:24,02/12/2025 09:59,returned,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000074,,40.63,02/12/2025 19:45,05/12/2025 23:05,,shipments.csv,2025-12-02,2026-03-29T19:36:03
O2000020,,2.36,2025-12-03 00:10:00,2025-12-02 23:35:00,label_created,shipments.csv,2025-12-02,2026-03-29T19:36:03
