order_id,product_id,quantity,unit_price,discount_amount
O2000001,P00040,1,741.08,219.02
O2000001,P00011,3,129.77,2.47
O2000001,P00046,2,109.78,6.21
O2000002,P00054,3,400.75,76.75
O2000002,P00047,3,120.61,17.43
O2000002,,2,250.7,34.74
O2000003,P00048,1,739.22,149.06
O2000003,P00016,3,155.03,30.52
O2000003,P00044,3,47.75,4.06
O2000003,P00029,3,700.89,104.32
O2000004,P00032,1,646.03,94.31
O2000004,P00028,3,798.62,151.42
O2000005,P00031,1,121.3,26.19
O2000005,P00011,3,274.7,54.76
O2000006,P00043,2,318.51,91.88
O2000006,P00015,1,496.17,13.77
O2000007,P00045,2,328.19,22.74
O2000007,P00059,1,156.55,38.13
O2000008,P00039,3,750.41,204.51
O2000008,P00051,3,274.44,27.27
O2000008,P00041,3,419.65,110.71
O2000008,P00043,1,352.42,78.71
O2000009,P00015,3," 99,90",88.56
O2000009,P00060,1,384.01,88.72
O2000009,P00055,3,750.03,141.31
O2000009,P00057,3,763.7,81.38
O2000010,P00043,1,313.61,73.43
O2000011,P00014,2,299.66,50.76
O2000011,P00029,2,37.81,10.08
O2000012,P00042,2,396.04,94.17
O2000012,P00020,3,173.87,15.6
O2000012,P00037,3,78.43,17.71
O2000012,P00014,3,640.67,89.08
O2000013,P00024,1,726.02,132.47
O2000013,P00037,2,528.26,63.41
O2000013,P00039,2,479.65,31.98
O2000013,P00028,2,389.76,86.83
O2000014,P00056,1,258.65,74.25
O2000015,P00020,3,703.18,49.71
O2000015,P00040,2,582.15,147.52
O2000015,P00015,3,434.99,117.67
O2000015,P00044,3,605.56,48.56
O2000016,P00050,3,564.1,2.88
O2000016,P00013,3,218.45,4.37
O2000016,P00033,3,494.24,22.06
O2000017,P00038,3,442.18,117.5
O2000017,P00020,3,,118.04
O2000018,P00014,3,252.58,25.44
O2000018,P00047,2,40.02,11.46
O2000018,P00015,1,86.07,11.72
O2000019,P00052,3,306.28,18.72
O2000019,P00043,3,597.93,93.24
O2000019,P00006,2,557.11,
O2000019,P00021,1,170.46,14.32
O2000020,P00035,2,417.02,17.62
O2000021,P00044,3,575.59,124.72
O2000022,P00013,two,11.1,2.88
O2000022,P00034,2,110.0,29.87
O2000022,P00037,1,547.44,133.55
O2000022,P00019,3,63.15,6.04
O2000023,P00018,2,737.61,70.06
O2000023,P00015,1,562.65,48.57
O2000023,P00019,2,348.13,83.01
O2000023,P00020,3,138.75,9.75
O2000024,P00031,2,248.88,43.44
O2000024,P00011,2,412.6,56.57
O2000024,P00045,2,248.48,6.87
O2000024,P00009,-1,401.87,110.53
O2000025,P00039,2,566.28,10.14
O2000025,P00048,1,270.2,65.4
O2000026,P00005,2,716.78,52.68
O2000026,P00039,2,429.34,24.63
O2000027,P00042,2,free,83.3
O2000028,P00028,1,74.96,2.48
O2000028,P00057,2,658.8,61.7
O2000029,P00028,3," 99,90",4.19
O2000029,P00037,3,32.64,3.16
O2000029,P00026,2,322.55,73.2
O2000030,P00025,1,240.83,27.67
O2000030,P00026,2,472.67,71.46
O2000030,P00045,1,351.35,26.33
O2000030,P00051,2,300.76,36.89
O2000031,P00058,2,80.51,11.81
O2000031,P00048,3,224.36,5.34
O2000031,P00012,1,460.52,136.11
O2000031,P00021,3,457.79,118.74
O2000032,P00008,3,686.83,29.43
O2000032,P00027,1,376.52,63.84
O2000033,P00013,2,295.33,28.72
O2000034,P00039,3,167.9,6.09
O2000035,P00018,3,505.77,6.69
O2000035,P00060,2,84.96,15.78
O2000035,P00060,1,727.71,21.07
O2000035,P00050,2,206.84,32.99
O2000036,P00004,2,383.76,3.11
O2000037,P00019,3,571.36,154.89
O2000037,P00046,1,659.54,172.47
O2000037,P00030,1,145.19,9.58
O2000037,P00010,2,700.95,50.23
O2000038,P00035,3,416.46,91.5
O2000038,P00032,3,539.49,43.56
O2000038,P00021,1,472.59,105.26
O2000039,P00057,1,758.69,95.6
O2000039,P00012,2,56.06,14.55
O2000039,P00008,1,-50,201.86
O2000040,P00018,3,12.94,
O2000040,P00038,2,792.91,155.05
O2000040,P00014,3,123.53,4.29
O2000041,P00037,2,79.96,14.04
O2000041,P00021,3,84.74,8.09
O2000041,P00040,1,425.32,53.21
O2000042,P00052,1,688.46,13.72
O2000042,P00054,1,30.57,6.89
O2000043,P00028,3,56.12,11.25
O2000043,P00025,1,569.62,2.1
O2000043,P00028,3,369.7,7.34
O2000044,P00022,3,478.63,138.16
O2000044,P00048,2,169.27,33.04
O2000044,P00017,2,389.36,111.0
O2000044,P00003,2,78.83,19.16
O2000045,P00033,2,649.23,98.77
O2000045,P00022,1,726.57,198.82
O2000046,P00026,1,256.37,30.9
O2000046,P00035,3,521.69,150.51
O2000047,P00017,1,53.95,11.88
O2000047,P00023,1,467.27,138.47
O2000047,P00046,3,195.38,1.86
O2000048,P00034,2,781.75,203.97
O2000048,P00026,1,688.43,117.63
O2000048,P00035,2,68.94,15.05
O2000048,P00045,3,64.67,18.07
O2000049,P00053,3,789.68,201.32
O2000049,P00014,3,744.3,163.16
,P00038,3,244.56,54.5
O2000049,P00019,1,194.97,40.15
O2000050,P00013,1,626.51,42.99
O2000050,P00004,1,451.57,77.06
O2000050,P00036,3,32.5,3.86
O2000050,P00020,3,704.15,192.33
O2000051,P00030,2,718.28,155.29
O2000051,P00019,2,79.91,19.67
O2000051,P00022,2,495.43,5.0 
O2000051,P00009,1,30.0,3.36
O2000052,P00029,1,758.26,119.16
O2000052,P00025,1,196.8,7.76
O2000052,P00048,1,19.32,0.1
O2000053,P00028,3,271.74,67.9
O2000054,P00038,1,159.01,2.55
O2000054,P00044,2,-50,177.01
O2000054,P00039,3,173.51,11.9
O2000055,P00040,1,636.83,30.81
O2000055,P00003,3,522.13,154.86
O2000055,P00060,1,116.92,10.11
O2000055,P00009,2,586.46,168.64
O2000056,P00008,2,457.85,23.73
O2000056,P00017,1,94.81,11.57
O2000056,P00030,1,22.17,4.53
O2000056,P00030,3,202.28,40.67
O2000057,P00056,1,256.29,62.7
O2000058,P00026,1,538.58,128.2
O2000058,P00046,2,229.38,34.67
O2000058,P00020,1,751.83,181.58
O2000059,P00001,2,721.3,142.77
O2000060,P00025,2,28.84,4.57
O2000060,P00047,1,615.86,R$10
O2000060,P00036,2,713.69,200.45
O2000061,P00019,1,244.74,62.82
O2000062,P00056,3,604.45,25.33
O2000063,P00027,1,71.05,4.04
O2000063,P00029,3,428.71,0.65
O2000064,P00011,1,188.08,R$10
O2000064,P00011,3,448.84,109.86
O2000064,P00017,1,638.51,60.37
O2000065,P00002,3,499.55,10.61
O2000065,P00044,3,307.65,57.95
O2000065,P00001,2,783.94,61.77
O2000066,P00012,3,600.26,87.32
O2000066,P00035,2,391.11,16.15
O2000066,P00058,1,296.38,42.66
O2000067,P00026,2,30.29,3.07
O2000067,P00019,1,392.91,92.88
O2000068,P00003,2,735.35,99.56
O2000068,P00010,1,480.3,78.18
O2000068,P00054,2,708.51,64.51
O2000068,P00056,1,16.08,3.98
O2000069,P00015,3,741.7,200.4
O2000069,P00049,2,622.49,114.3
O2000069,,2,393.52,16.63
O2000070,P00010,1,145.47,7.42
O2000070,P00054,3,229.36,30.7
O2000071,P00050,1,261.62,37.8
O2000072,P00043,3,353.59,64.71
O2000072,P00034,3,607.75,154.37
O2000072,P00013,0,159.89,7.52
O2000073,P00054,,493.11,114.41
O2000074,P00028,2,197.49,40.77
O2000074,P00054,2,free,132.1
O2000074,P00036,3,439.89,126.13
O2000075,P00042,2,279.15,46.31
O2000076,P00045,2,424.66,7.15
O2000076,P00044,2,585.42,17.09
O2000076,P00011,2,,45.8
O2000077,P00011,1,219.61,21.31
O2000077,P00030,2,417.87,95.99
O2000077,P00026,2,146.13,33.67
O2000078,P00042,3,137.22,1.46
O2000079,P00055,3,590.3,69.63
O2000080,P00044,3,647.71,100.9
O2000081,P00055,2,224.62,16.66
O2000081,P00030,3,218.34,11.97
O2000082,P00057,1,271.33,5.41
O2000082,P00049,1,304.54,15.25
O2000083,P00020,3,144.36,0.3
O2000083,P00043,1,777.93,203.83
O2000083,P00048,2,95.1,12.26
O2000084,P00041,1,64.35,7.55
O2000084,P00033,1,235.37,57.11
O2000084,P00047,3,115.46,10.69
O2000084,P00048,2,485.7,92.47
O2000085,P00034,2,18.79,5.3
O2000085,P00026,3,180.11,3.38
O2000086,P00029,1,68.93,5.54
O2000086,P00043,1,601.85,115.69
O2000086,P00042,2,589.91,161.52
O2000086,P00013,2,57.68,0.38
O2000087,P00005,3,387.96,31.96
O2000087,P00027,3,29.98,1.67
O2000088,P00054,1,465.79,82.94
O2000088,P00019,two,99.18,5.74
O2000089,P00057,3,89.67,1.17
O2000089,P00019,3,35.52,8.87
O2000090,P00042,1,151.17,2.43
O2000090,P00024,1,465.92,46.96
O2000090,P00004,2,236.94,20.6
O2000091,P00052,1,267.08,38.57
O2000091,P00053,3,330.11,73.41
O2000091,P00049,1,224.02,66.6
O2000091,P00001,1,334.99,5.49
O2000092,P00028,3,681.25,65.07
O2000092,P00059,2,696.88,109.31
O2000093,P00057,two,423.31,100.63
O2000093,P00004,3,565.0,48.0
O2000094,P00017,1,15.04,3.27
O2000094,P00008,3,153.48,9.07
O2000095,P00030,3,711.51,206.11
O2000095,P00022,1,363.88,64.14
O2000095,P00008,2,451.79,123.91
O2000095,P00024,3,657.25,107.74
O2000069,P00001,2,393.52,16.63
O2000015,P00040,2,582.15,147.52
O2000031,P00021,3,457.79,118.74
O2000057,P00056,1,256.29,62.7
O2000064,P00011,1,188.08,R$10
O2000067,P00026,2,30.29,3.07
O000053,P00057,3,704.34,15.77
O2000081,P00055,2,224.62,16.66
O2000018,P00015,1,86.07,11.72
O2000084,P00033,1,235.37,57.11
